year,dirty_energy_consumption,clean_energy_consumption,total_energy_consumption,total_co2_emission
1990,,,31.746,2024326.1
1991,,,13.903,1914301
1992,,,9.168,1482054
1993,,,9.105,1486943
1994,,,8.816,1453829
1995,,,7.429,1417327
1996,,,7.286,1370104
1997,,,6.938,1304152
1998,,,6.752,1278504
1999,,,6.749,1091640
2000,,,5.914,1047127.94
2001,,,4.664,1069098
2002,,,4.428,1340995
2003,,,5.208,1559602
2004,,,4.81,1237247
2005,,,6.153,1889507
2006,,,7.745,2159318
2007,,,10.039,2799909
2008,,,17.152,4254477
2009,,,27.944,6391888
2010,,,34.74,8364803.5
2011,,,47.199,11838316
2012,,,43.26,10035314
2013,,,36.489,9250510
2014,,,33.502,9170309
2015,,,37.012,9791093
2016,,,34.458,9067598
2017,,,36.617,9867969
2018,,,41.989,10818048
2019,,,35.974,11081621
1990,,,33.658,659297200
1991,,,28.23,688953700
1992,,,24.674,668606100
1993,,,21.638,708741060
1994,,,20.567,719465300
1995,,,22.728,771882300
1996,,,25.011,783331900
1997,,,22.844,812606300
1998,,,24.572,837844000
1999,,,22.114,830411140
2000,,,28.732,886403400
2001,,,27.233,883999940
2002,,,29.497,892558700
2003,,,33.27,967169860
2004,,,35.487,1036636900
2005,,,35.014,1057360960
2006,,,32.967,1090145000
2007,,,28.377,1132287500
2008,,,30.991,1181174800
2009,,,33.773,1171780000
2010,,,36.061,1214749200
2011,,,31.486,1251306000
2012,,,30.81,1259536900
2013,,,38.665,1268892300
2014,,,34.06,1350089200
2015,,,34.083,1323759000
2016,,,37.984,1363459100
2017,,,36.737,1379490000
2018,,,41.67,1366411000
2019,,,32.457,1467491800
1990,12327.519,15.644,314.974,659289860
1991,11908.999,33.152,312.095,688946400
1992,11949.858,21.999,320.227,668598700
1993,10855.729,38.159,297.995,708730050
1994,10789.64,17.57,301.921,719454300
1995,10975.977,20.04,313.145,771871360
1996,10678.949,13.773,309.925,783320900
1997,10097.629,7.524,297.86,812595260
1998,10282.93,21.245,308.349,837832960
1999,10242.966,19.781,311.434,830400100
2000,9741.336,5.189,299.946,886392400
2001,9955.143,6.497,310.813,883988900
2002,10175.09,5.261,321.951,892547700
2003,10486.486,23.975,336.922,967158850
2004,10736.774,22.248,349.778,1036626000
2005,11065.476,48.247,366.272,1057350000
2006,11323.462,18.518,379.22,1090134100
2007,11740.896,18.804,399.64,1132276500
2008,12229.293,23.004,423.557,1181163800
2009,12725.983,27.137,448.859,1171769000
2010,12229.061,14.096,438.995,1214738200
